ST_CASE,VEH_NO,PHARM_EV,PCARGTYP,PSP_USE,PVEH_SEV,PDEATHS
360943,2,42,0,0,8,0
360950,2,14,0,0,8,0
360950,3,14,0,0,8,0
360950,4,14,0,0,8,0
360950,5,14,0,0,8,0
360950,6,14,0,0,8,0
360969,2,14,1,0,8,0
360971,2,14,22,2,8,0
360971,3,14,0,0,8,0
360971,4,14,0,0,8,0
361038,2,14,0,0,8,1
361038,3,14,0,0,8,0
370027,4,12,0,0,6,0
370081,3,12,0,0,4,0
370139,2,1,1,0,4,0
370274,2,42,0,0,4,0
370441,2,43,0,0,6,0
370441,3,43,0,0,4,0
370441,4,43,0,0,4,0
370441,5,43,0,0,4,0
370441,6,43,0,0,4,0
370513,1,18,96,0,6,0
370513,3,18,0,0,6,0
370560,3,12,0,0,4,0
370692,2,34,0,0,6,0
370709,2,14,0,0,6,0
370709,4,14,0,0,6,0
370709,5,14,0,0,6,0
370709,6,14,0,0,6,0
370709,7,14,0,0,6,0
370717,2,9,0,0,4,0
370755,2,14,0,0,6,0
370833,4,12,0,0,4,0
370855,2,30,0,0,2,0
370879,3,12,0,0,2,0
370949,2,18,0,0,2,0
370958,2,53,0,0,2,0
370985,2,53,0,0,4,0
371044,2,25,0,0,6,0
371221,2,35,0,0,6,0
371262,2,14,0,0,6,0
371264,2,53,0,0,2,0
380022,2,14,3,0,4,0
380116,2,14,0,0,4,0
390002,2,30,0,0,2,0
390003,2,14,1,0,4,0
390003,3,14,0,0,6,0
390053,2,8,0,0,6,0
390056,2,53,96,0,6,0
390056,3,53,96,0,4,0
390077,2,8,0,0,6,1
390082,2,14,0,0,6,0
390082,3,14,0,0,4,0
390102,2,14,0,0,2,0
390102,3,14,0,0,4,0
390121,1,8,0,0,6,0
390124,3,12,0,0,4,0
390129,2,8,0,0,2,0
390132,2,8,1,0,2,0
390137,2,14,1,0,4,0
390137,3,14,0,0,4,0
390274,2,8,0,0,6,0
390291,2,14,1,0,2,0
390326,1,14,98,99,6,0
390345,2,8,0,0,2,0
390360,2,34,0,0,9,0
390366,2,14,0,0,6,0
390366,3,14,0,0,2,0
390370,3,12,99,0,2,0
390377,3,12,0,0,6,0
390401,2,14,0,0,6,0
390401,3,14,0,0,6,0
390401,4,14,0,0,4,0
390427,3,12,0,0,2,0
390473,1,14,97,0,4,1
390500,2,18,0,0,6,1
390539,2,14,1,0,9,0
390542,2,14,12,0,4,0
390550,2,14,0,0,6,0
390583,3,12,0,0,4,0
390619,2,14,0,0,6,1
390683,2,43,0,0,4,0
390776,2,30,0,0,6,0
390887,1,14,0,0,6,0
390897,2,33,1,0,4,0
390924,2,14,0,0,4,0
390932,3,12,0,0,2,0
390976,2,8,0,0,4,0
390976,3,8,0,0,6,0
390987,2,14,97,0,6,0
391031,1,14,0,0,6,0
391043,2,19,0,0,2,0
391043,3,19,0,0,2,0
391047,2,14,0,0,4,0
391049,2,14,0,0,6,0
391049,3,14,1,0,4,0
400008,2,45,0,0,2,0
400038,2,14,0,0,6,2
400060,2,8,2,0,6,0
400093,2,14,0,0,6,0
400121,2,33,0,0,2,0
400121,3,33,0,0,4,0
400135,2,45,97,0,2,0
400162,2,33,0,0,4,0
400168,2,14,0,0,6,0
400220,2,14,3,0,4,0
400238,1,14,1,0,4,0
